client,arrest_count,arrest_max_tb,arrest_ltb,pop,pop_max_tb,pop_not_max_tb,name,values
cpd,3613,2056,170,41498,2802,38696,Most Targeted Blocks,0.7337615988579586
cpd,3613,2056,170,41498,2802,38696,Least Targeted Blocks,0.004393218937357867
cpd,3613,2056,170,41498,2802,38696,Jurisdiction Total,0.08706443684032965
elgin,6280,2578,26,179086,7683,171403,Most Targeted Blocks,0.33554601067291423
elgin,6280,2578,26,179086,7683,171403,Least Targeted Blocks,1.516892936529699e-4
elgin,6280,2578,26,179086,7683,171403,Jurisdiction Total,0.03506695107378578
farmersbranch,5235,2047,631,41909,6401,35508,Most Targeted Blocks,0.3197937822215279
farmersbranch,5235,2047,631,41909,6401,35508,Least Targeted Blocks,0.01777064323532725
farmersbranch,5235,2047,631,41909,6401,35508,Jurisdiction Total,0.12491350306616718
haverhill,2148,960,104,63280,6233,57047,Most Targeted Blocks,0.15401893149366278
haverhill,2148,960,104,63280,6233,57047,Least Targeted Blocks,0.0018230581800971128
haverhill,2148,960,104,63280,6233,57047,Jurisdiction Total,0.033944374209860934
jacksonvilletx,2044,964,7,19427,2198,17229,Most Targeted Blocks,0.4385805277525023
jacksonvilletx,2044,964,7,19427,2198,17229,Least Targeted Blocks,4.0629171745313133e-4
jacksonvilletx,2044,964,7,19427,2198,17229,Jurisdiction Total,0.10521439234055696
la,191915,53558,17286,3965482,268026,3697456,Most Targeted Blocks,0.19982389768156822
la,191915,53558,17286,3965482,268026,3697456,Least Targeted Blocks,0.0046751063433885355
la,191915,53558,17286,3965482,268026,3697456,Jurisdiction Total,0.048396386618322816
nilespolice,2127,1089,71,39869,3686,36183,Most Targeted Blocks,0.29544221378187735
nilespolice,2127,1089,71,39869,3686,36183,Least Targeted Blocks,0.001962247464278805
nilespolice,2127,1089,71,39869,3686,36183,Jurisdiction Total,0.05334972033409416
ocfl,48790,11713,206,1321194,116889,1204305,Most Targeted Blocks,0.10020617851123716
ocfl,48790,11713,206,1321194,116889,1204305,Least Targeted Blocks,1.7105301397901695e-4
ocfl,48790,11713,206,1321194,116889,1204305,Jurisdiction Total,0.036928717508556655
plainfieldpdnj,5326,2713,102,50508,5336,45172,Most Targeted Blocks,0.5084332833583208
plainfieldpdnj,5326,2713,102,50508,5336,45172,Least Targeted Blocks,0.002258035951474365
plainfieldpdnj,5326,2713,102,50508,5336,45172,Jurisdiction Total,0.10544864179931893
portagemipd,4459,1860,1725,50667,4235,46432,Most Targeted Blocks,0.43919716646989376
portagemipd,4459,1860,1725,50667,4235,46432,Least Targeted Blocks,0.037151102687801515
portagemipd,4459,1860,1725,50667,4235,46432,Jurisdiction Total,0.08800599996052658
salisbury,2028,1076,1466,65711,5179,60532,Most Targeted Blocks,0.20776211623865612
salisbury,2028,1076,1466,65711,5179,60532,Least Targeted Blocks,0.0242185951232406
salisbury,2028,1076,1466,65711,5179,60532,Jurisdiction Total,0.030862412685851683
